N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
1000.000000,0.001985,0.001888,0.000229,0.000187,0.002920,0.000194,0.000154,0.000127,0.000174,0.000509,0.002277,0.000250,0.000703,0.000014,0.000014,0.000013,0.000690,0.000008,0.000005,0.001004,0.000003,0.000642
2000.000000,0.007498,0.006842,0.000524,0.000419,0.012007,0.000439,0.000258,0.000285,0.000251,0.001478,0.009223,0.000593,0.002707,0.000027,0.000028,0.000026,0.002837,0.000019,0.000010,0.004890,0.000006,0.003076
3000.000000,0.017105,0.015803,0.000739,0.000671,0.027085,0.000707,0.000326,0.000274,0.000380,0.003022,0.021254,0.000916,0.006097,0.000042,0.000039,0.000039,0.006158,0.000024,0.000014,0.010829,0.000008,0.006939
4000.000000,0.031039,0.028688,0.001046,0.000904,0.048686,0.000999,0.000519,0.000377,0.000484,0.005275,0.037963,0.001270,0.010803,0.000062,0.000055,0.000052,0.010945,0.000046,0.000018,0.020734,0.000012,0.012819
5000.000000,0.049213,0.046624,0.001284,0.001196,0.078900,0.001351,0.000542,0.000461,0.000615,0.008187,0.061749,0.001688,0.017298,0.000071,0.000066,0.000066,0.017847,0.000044,0.000022,0.034378,0.000014,0.020725
6000.000000,0.070797,0.068617,0.001617,0.001471,0.117414,0.001839,0.000609,0.000607,0.000770,0.011183,0.096761,0.002156,0.024947,0.000086,0.000080,0.000079,0.025254,0.000054,0.000027,0.051663,0.000016,0.032137
7000.000000,0.097683,0.095737,0.001926,0.001794,0.171356,0.002229,0.000685,0.000715,0.000884,0.015186,0.137024,0.002607,0.033707,0.000103,0.000058,0.000096,0.034564,0.000064,0.000031,0.086604,0.000020,0.047169
8000.000000,0.127234,0.125306,0.002168,0.002016,0.227704,0.002428,0.000937,0.000775,0.000992,0.019695,0.192036,0.003047,0.044288,0.000124,0.000068,0.000113,0.044578,0.000080,0.000044,0.125144,0.000022,0.068834
9000.000000,0.165438,0.165557,0.002519,0.002286,0.305342,0.003023,0.001029,0.000967,0.001082,0.024331,0.251632,0.003758,0.056077,0.000135,0.000083,0.000128,0.058953,0.000084,0.000047,0.166025,0.000026,0.088925
10000.000000,0.204924,0.209391,0.002804,0.002595,0.382658,0.003435,0.001019,0.000921,0.001367,0.030553,0.326906,0.004184,0.070992,0.000148,0.000089,0.000142,0.071852,0.000099,0.000044,0.222995,0.000028,0.114917
